year,month,monthly average,de-season alized,number of days,standard deviation of days,unc of monthly mean,
1958,3,315.71,314.44,-1,-9.99,-0.99,
1958,4,317.45,315.16,-1,-9.99,-0.99,
1958,5,317.51,314.69,-1,-9.99,-0.99,
1958,6,317.27,315.15,-1,-9.99,-0.99,
1958,7,315.87,315.2,-1,-9.99,-0.99,
1958,8,314.93,316.21,-1,-9.99,-0.99,
1958,9,313.21,316.11,-1,-9.99,-0.99,
1958,10,312.42,315.41,-1,-9.99,-0.99,
1958,11,313.33,315.21,-1,-9.99,-0.99,
1958,12,314.67,315.43,-1,-9.99,-0.99,
1959,1,315.58,315.52,-1,-9.99,-0.99,
1959,2,316.49,315.84,-1,-9.99,-0.99,
1959,3,316.65,315.37,-1,-9.99,-0.99,
1959,4,317.72,315.42,-1,-9.99,-0.99,
1959,5,318.29,315.46,-1,-9.99,-0.99,
1959,6,318.15,316,-1,-9.99,-0.99,
1959,7,316.54,315.87,-1,-9.99,-0.99,
1959,8,314.8,316.09,-1,-9.99,-0.99,
1959,9,313.84,316.75,-1,-9.99,-0.99,
1959,10,313.33,316.34,-1,-9.99,-0.99,
1959,11,314.81,316.69,-1,-9.99,-0.99,
1959,12,315.58,316.35,-1,-9.99,-0.99,
1960,1,316.43,316.38,-1,-9.99,-0.99,
1960,2,316.98,316.33,-1,-9.99,-0.99,
1960,3,317.58,316.27,-1,-9.99,-0.99,
1960,4,319.03,316.7,-1,-9.99,-0.99,
1960,5,320.03,317.19,-1,-9.99,-0.99,
1960,6,319.58,317.45,-1,-9.99,-0.99,
1960,7,318.18,317.54,-1,-9.99,-0.99,
1960,8,315.9,317.22,-1,-9.99,-0.99,
1960,9,314.17,317.1,-1,-9.99,-0.99,
1960,10,313.83,316.85,-1,-9.99,-0.99,
1960,11,315,316.89,-1,-9.99,-0.99,
1960,12,316.19,316.96,-1,-9.99,-0.99,
1961,1,316.89,316.84,-1,-9.99,-0.99,
1961,2,317.7,317.05,-1,-9.99,-0.99,
1961,3,318.54,317.25,-1,-9.99,-0.99,
1961,4,319.48,317.16,-1,-9.99,-0.99,
1961,5,320.58,317.73,-1,-9.99,-0.99,
1961,6,319.77,317.61,-1,-9.99,-0.99,
1961,7,318.56,317.89,-1,-9.99,-0.99,
1961,8,316.79,318.09,-1,-9.99,-0.99,
1961,9,314.99,317.92,-1,-9.99,-0.99,
1961,10,315.31,318.34,-1,-9.99,-0.99,
